image_z,image_tilt,robot_z
571,48,817
523,42,806
518,42,807
538,45,801
571,47,816
545,43,819
549,44,828
566,46,832
574,48,840
557,45,817
524,42,806
544,43,807
541,44,816
540,43,802
528,42,820
567,48,821
536,43,833
519,42,818
569,46,823
523,41,801
560,46,847
572,46,822
569,46,846
556,43,807
599,48,899
572,46,877
604,48,898
528,42,827
538,42,842
547,44,829
573,47,841
575,46,839
509,39,815
516,40,821
548,43,841
523,42,824
542,43,836
