image_z,image_tilt,robot_z
618,45,868
526,38,789
195,-10,438
326,18,587
546,39,766
403,22,713
616,45,851
283,4,540
358,18,648
566,41,803
267,3,515
257,3,546
302,10,587
583,42,869
256,1,530
152,-14,418
604,44,809
160,-17,422
262,2,543
611,45,870
574,41,807
453,29,701
401,22,692
341,14,595
177,-12,421
