image_z,image_tilt,robot_z
370,17,806
560,37,1031
370,15,806
383,19,807
383,19,816
402,21,877
506,25,1009
375,15,827
513,29,1009
407,20,839
512,27,1018
377,14,817
386,17,835
393,17,838
393,17,827
521,41,1008
377,18,817

